keyword,title,brand,price,raw_price,rating,reviews,platform,position,delivery,discount_pct,price_range,visibility_score,link,thumbnail,data_source
Headphones,Zebronics Zeb-Storm On-Ear Wired Headphone,Zebronics,499.0,,4.5,0,Amazon.In,10,Unknown,0.0,Budget (<500),0.75,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:10474805173525217530,productid:4248168516572152995,headlineOfferDocid:11415189508561655088,imageDocid:12065371850720175809,gpcid:5021968229417930584,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ00TBOVmIyQlLShuzOpjUKK1Q3ODZqEC-Nwm7EGTmcLVlSNSlY2XVzBLEzKUkY_sdnxctm1R8VMu8LslZqkeDnf7jnNmWSjqDdep7R0VzFulPgPlqZFNgY,api
Headphones,Croma Bluetooth Headphone with Mic,MI,599.0,,4.0,26,Bigbasket.Com,11,Unknown,0.0,Economy (500-2K),0.725,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:1522593876007723460,productid:7220864174071617000,headlineOfferDocid:10553588051441266770,imageDocid:12511491146969398425,rds:PC_1039884429685860360|PROD_PC_1039884429685860360,gpcid:1039884429685860360,mid:576462829814853169,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRDbOxvRCcQIRm7GWsUBGaEJeHG7vpJcERnnjBI6i76Vszh0liIDQY1gD0PPH62QsE5pjs1SRLmJHjt2hjpOOOVd7WtTgD-zw,api
Headphones,boAt Rockerz Plus 550 Wireless Headphones,Boat,2199.0,2299.0,4.5,10,Boat,12,Unknown,4.35,Mid-Range (2K-5K),0.7,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:6266583124692365975,productid:1612301515267306768,headlineOfferDocid:1445279740010630354,imageDocid:3862026993931628179,rds:PC_15534221770955109474|PROD_PC_15534221770955109474,gpcid:15534221770955109474,mid:576462841726346952,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQMUeLfAErv87DYV9nPlNbFXaNb-HqifQJJvZ_8M3tKNk_Jzybb92lNEQ1GU4usRR-JAh8_lPdnpxna6pxmGQyRqcdFQ-o3S5mvIPom2KZhbT_A8_w9Iarw,api
Headphones,Apple AirPods Max 2 Wireless Over-Ear Closed-Back Headphones,Apple,64990.0,,4.6,511,Vijay Sales,13,Unknown,0.0,Luxury (50K+),0.675,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:10112183040814341895,productid:16972708697383046629,headlineOfferDocid:5015132171126284083,imageDocid:193692386258923142,rds:PC_11587709459108997520|PROD_PC_11587709459108997520,gpcid:11587709459108997520,mid:576462871290781216,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTwHQwpUJZ1a80rHDc2rlR63DKs2zOn1WCXUAVAqq--_QBgaR2dUCbebYGlQJEB7rL5ta6kuehCKcibZv7ryHS72ESPYI6NN0LIJ1kL-cOiBgknYgRAWdwj5nk,api
Headphones,Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic,Sony,4490.0,,4.8,35000,Amazon.In,14,Unknown,0.0,Mid-Range (2K-5K),0.65,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:13972574244139192575,productid:6458010975006847717,headlineOfferDocid:14168143659806253857,imageDocid:2651355005769256107,rds:PC_7451359503992031879|PROD_PC_7451359503992031879,gpcid:7451359503992031879,mid:576462544495685599,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRX6koo2gkcmVOyaMT4c9HU2LzU_t1qfJ2E3SutnHVprxydqks7ln__tYvhRvHN3Yw3qymsyHXe-7qvbHkH0G3a9IJBesSAiPUic1dmHWdego-thyHxnV9-,api
Headphones,Nothing Headphone 1 42dB ANC Dual Device Hi-Res+LDAC,Nothing,17999.0,,4.7,455,Myntra - Mnow,15,Unknown,0.0,High-End (15K-50K),0.625,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:6735148347543723037,productid:3351348742166262067,headlineOfferDocid:10278437013074133937,imageDocid:14731541862993286050,rds:PC_12534570111090811875|PROD_PC_12534570111090811875,gpcid:6093772686262995992,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRTxTala6xIlMfNu6T-ny7ZSbAwkabdsoEmX9iL3FXTWK5YHKbyLSTDkD609AsiJoI2yRyrP8IKvDiHPM6Udin7KNe_UKvzsb97F8WyIWs9VwLDjh9lcHzBOA,api
Headphones,Hammer Vibe Bluetooth Headphone,Hammer,999.0,,4.8,11,Flipkart,16,Unknown,0.0,Economy (500-2K),0.6,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:16542679491602558401,productid:4278989142517392081,headlineOfferDocid:6399051874270627713,imageDocid:14216990626014275027,rds:PC_2217504917097614267|PROD_PC_2217504917097614267,gpcid:2217504917097614267,mid:576462861137237589,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQH7KRq4baBd_hXg1OCjOR4hHfWpZz9QXf1w3ATufZi5kGrQWNgKdRRLTdkWOkFvrm-2-JW70bABfCrwCr45CGjte7goxhQiRieCYpCgB6LbAZpmaVetlhe,api
Headphones,Portronics Muffs M2 Wireless Over Ear Headphones,Portronics,919.0,,4.0,74,Amazon.In,17,Unknown,0.0,Economy (500-2K),0.575,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:6366150873136066421,productid:7383729288826126416,headlineOfferDocid:17501066456395264704,imageDocid:8407894334616228905,rds:PC_8146609607982072626|PROD_PC_8146609607982072626,gpcid:8146609607982072626,mid:576462460924161948,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQR2cb8gGa9xVHhpotQTfjR_e8oZdhFSHCxmIqOuX8pRunFmw2463MS2Q3kkue9F8Vs6xcSSGwxvZEgx03CyZbmb25h7FVSQFV7IpUxVjQsoxMmF8wpdT7i,api
Headphones,Noise Airwave Max XR Wireless Over-Ear Headphones,Noise,2999.0,,4.9,44,Noise,18,Unknown,0.0,Mid-Range (2K-5K),0.55,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:3678216959963406225,productid:7657789056785082019,headlineOfferDocid:2616956820917251682,imageDocid:2810901834286917754,rds:PC_7652628734947244793|PROD_PC_7652628734947244793,gpcid:16267178674409989026,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR1C9Bg4WpHkcDmavaEPrnr6CHzKlI56aoaBa1sJKcWNFXgJqtNZCZN0wZ6e4KN7tjeziAvIjpfyU-386skcUIKjKizoxQfYxVIdhKBL3EtrIQSfYcgBZ8oPw,api
Headphones,Beats Studio Pro,Beats,37900.0,,4.6,19000,Beats By Dre,19,Unknown,0.0,High-End (15K-50K),0.525,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:2703987063045069230,productid:13676462188282980618,headlineOfferDocid:4235855790608303825,imageDocid:1860566896168774041,rds:PC_7828364965549902649|PROD_PC_7828364965549902649,gpcid:7828364965549902649,mid:576462801467792102,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRW6yUYaBPBDafYHX9o06U7ud_M3vVY45t8_aLc6r8mRYxZeSB8C-WjXPneZG7HUMzWwAWawwzvkn1Q0DXqJx_0gSVuOXTktrdN-DG25aVfaK08ctsbhfqQrA,api
